ETA,VIN,Year,Model,Hold Status,Pre-Sold,Shipping Status,Total MSRP,Exterior Color,Interior Color,Distance,Dealer,Dealer Website,SmartPath,Options
2024-09-04T00:00:00.000Z,3TYLC5LN5RT005895,2024,Tacoma TRD Off-Road,Available,False,At dealer,51896,CELESTIAL SILVER METALLIC,FABRIC 3 BOULDER/BLACK (SMOKE SILVER),412,Joe Myers Toyota,https://www.joemyerstoyota.com,False,50 State Emissions | ARB Rear Tow Hooks** | Ball Mount | Bed Extender | Blackout Package | Connectivity Kit | Dash Cam | Mudguards | Owner's Portfolio | PDS - with Texas State Inspection | Predator Drop Step** | Spray-On Bed Liner** | TRD Off Road Package: | VIP PROTECTION PACKAGE | Vehicle Fueling | Vehicle Protection Package
2024-09-10T00:00:00.000Z,3TYLC5LN5RT006156,2024,Tacoma TRD Off-Road,Available,False,At dealer,61151,ICE CAP,SOFTEX EMBOSSED BLACK,435,Cavender Toyota,https://www.cavendertoyota.com,True,50 State Emissions | ARB Rear Tow Hooks** | Bed Extender | Bed Scene Lighting** | Blackout Package | Cavender Protection Package | Connectivity Kit | Dash Cam | Mudguards | Owner's Portfolio | PDS - with Texas State Inspection | Rock Rails** | Spray-On Bed Liner** | TRD Off-Road Premium Package<br> | Vehicle Fueling | Vehicle Protection Package
2024-09-12T00:00:00.000Z,3TYLC5LN5RT006688,2024,Tacoma TRD Sport,Available,False,At dealer,51033,SOLAR OCTANE*,FABRIC BOULDER/BLACK (SMOKE SILVER),237,Magness Toyota,https://www.magnesstoyota.com,False,50 State Emissions | Bed Step (non-powered)** | Blackout Package | Exhaust Tip - Black Chrome** | Lemon Law Book | Mudguards | Owner's Portfolio | PDS - Pre-Delivery Services | Predator Drop Step** | Premium Paint Charge | Spray-On Bed Liner** | Vehicle Fueling | Vehicle Protection Package
2024-09-12T00:00:00.000Z,3TYLC5LN5RT006805,2024,Tacoma TRD Off-Road,DealerHold,False,At dealer,51937,BLACK,FABRIC 3 BOULDER/BLACK (SMOKE SILVER),198,Toyota of Irving,https://www.toyotaofirving.com,False,50 State Emissions | ARB Rear Tow Hooks** | Bed Extender | Blackout Package | CatalyticConverterShield | Connectivity Kit | Dash Cam | Exhaust Tip - Black Chrome** | Mudguards | Owner's Portfolio | PDS - with Texas State Inspection | Predator Drop Step** | Spray-On Bed Liner** | TRD Off Road Package: | ToyotaofIrvingAdvantagePackage | ToyotaofIrvingLifetimePowertrainWarranty | Vehicle Fueling | Vehicle Protection Package
2024-09-20T00:00:00.000Z,3TYLC5LN5RT007551,2024,Tacoma TRD Off-Road,Available,False,At dealer,53455,SUPERSONIC RED*,FABRIC 3 BOULDER/BLACK (SMOKE SILVER),185,Lone Star Toyota of Lewisville,https://www.lonestartoyotalewisville.com,True,50 State Emissions | ARB Rear Tow Hooks** | Ball Mount | Bed Extender | Bed Scene Lighting** | Blackout Package | Connectivity Kit | Dash Cam | Exhaust Tip - Black Chrome** | Mudguards | PDS - with Texas State Inspection | Premium Paint Charge | Rock Rails** | Spray-On Bed Liner** | TRD Off Road Package: | Vehicle Fueling | Vehicle Protection Premium Package
2024-10-02T00:00:00.000Z,3TYLC5LN5RT008733,2024,Tacoma TRD Sport,Available,False,At dealer,50883,UNDERGROUND,FABRIC BOULDER/BLACK (SMOKE SILVER),266,Lithia Toyota of Abilene,https://www.toyotaabilene.com,True,50 State Emissions | Bed Step (non-powered)** | Blackout Package | Connectivity Kit | Exhaust Tip - Black Chrome** | Mudguards | Owner's Portfolio | PDS - with Texas State Inspection | Predator Drop Step** | Spray-On Bed Liner** | Vehicle Fueling | Vehicle Protection Premium Package
2024-10-14T00:00:00.000Z,3TYLC5LN5RT009140,2024,Tacoma TRD Off-Road,Available,False,At dealer,51898,BLACK,FABRIC 3 BOULDER/BLACK (SMOKE SILVER),356,Round Rock Toyota,https://www.roundrocktoyota.com,True,14-in. Audio Multimedia Display | 50 State Emissions | ARB Rear Tow Hooks** | Blackout Package | Connectivity Kit | Dash Cam | Exhaust Tip - Black Chrome** | Mudguards | Owner's Portfolio | PDS - with Texas State Inspection | Predator Drop Step** | Spray-On Bed Liner** | TRD Off Road Package: | Vehicle Fueling
2024-10-17T00:00:00.000Z,3TYLC5LN5RT009204,2024,Tacoma TRD Sport,DealerHold,True,At dealer,55148,BRONZE OXIDE,FABRIC BOULDER/BLACK (SMOKE SILVER),261,Street Toyota,https://www.streettoyota.com,False,14-in. Audio Multimedia Display (with TRD Sport Upgrade Package) | 50 State Emissions | Blackout Package | Connectivity Kit | Mudguards | PDS - with Texas State Inspection | Predator Drop Step** | Spray-On Bed Liner** | TRD Sport Upgrade Package | Vehicle Fueling | Vehicle Protection Package
2024-10-14T00:00:00.000Z,3TYLC5LN5RT009252,2024,Tacoma TRD Pro,DealerHold,False,At dealer,67827,BLACK,SOFTEX + PRINT BLACK,447,Mac Haik Toyota,https://www.machaiktoyota.com,False,50 State Emissions | Bed Scene Lighting** | Dash Cam | Mudguards | Owner's Portfolio | PDS - with Texas State Inspection | Spray-On Bed Liner** | TRD PRO Package | Vehicle Fueling | Vehicle Protection Premium Package
2024-10-23T00:00:00.000Z,3TYLC5LN5RT009784,2024,Tacoma TRD Pro,DealerHold,True,At dealer,67991,TERRA W/ BLACK ROOF*,SOFTEX + PRINT BLACK,140,Toyota of Wichita Falls,https://www.toyotaofwf.com,False,50 State Emissions | AutoInc Prime Protection | Ball Mount | Bed Scene Lighting** | Connectivity Kit | Dash Cam | Mudguards | Owner's Portfolio | Spray-On Bed Liner** | TRD PRO Package | Vehicle Fueling | Vehicle Protection Premium Package
2024-11-08,3TYLC5LN5RT009901,2024,Tacoma TRD Pro,DealerHold,True,Port to dealer,66804,TERRA W/ BLACK ROOF*,SOFTEX + PRINT BLACK,322,Seeger Toyota of St. Robert,https://www.seegertoyota.net,False,"50 State Emissions | Door Panel Scuff Protectors[installed_msrp] | Graphics (Topo) - Clear | Mudguards | Paint Protection Film - <br>Hood, Fenders, Mirror Backs and Door Cups[installed_msrp] | Rear Differential Skid Plate | TRD PRO Package"
2024-11-02,3TYLC5LN5RT010112,2024,Tacoma Limited,,False,Port to dealer,59574,WIND CHILL PEARL*,SOFTEX + PRINT BOULDER,496,Monken Toyota of Mt. Vernon,https://www.monkentoyotamtvernon.com,True,50 State Emissions | All Weather Floor Liners | Body Side Molding[installed_msrp] | Mudguards | Premium Paint | Quick Charging Cable Package[installed_msrp] | Tonneau Cover: Hard Tri-Fold[installed_msrp]
2024-11-09T00:00:00.000Z,3TYLC5LN5RT010269,2024,Tacoma Limited,Available,True,Factory to port,59498,CELESTIAL SILVER METALLIC,EB BLACK,369,Toyota of North Austin,https://www.toyotaofnorthaustin.com,False,50 State Emissions | Adaptive Variable Suspension (AVS) | Ball Mount | Bed Step (non-powered)** | Connectivity Kit | Dash Cam | Illuminated Front Emblem | Mudguards | PDS - with Texas State Inspection | Spray-On Bed Liner** | Toyota of North Austin Appearance Package | Vehicle Fueling
2024-11-14T00:00:00.000Z,3TYLC5LN5RT010482,2024,Tacoma TRD Sport,Available,False,Factory to port,51803,ICE CAP,FABRIC BOULDER/BLACK (SMOKE SILVER),11,Bob Howard Toyota,https://www.bobhowardtoyota.com,False,14-in. Audio Multimedia Display | 50 State Emissions | Bed Step (non-powered)** | Exhaust Tip - Black Chrome** | Illuminated Front Emblem | Mudguards | Owner's Portfolio | PDS - Pre-Delivery Services | Predator Drop Step** | Spray-On Bed Liner** | Tailgate Insert - Black | Vehicle Fueling | Vehicle Protection Premium Package
2024-11-21,3TYLC5LN5RT010675,2024,Tacoma TRD Pro,,False,Factory to port,67439,UNDERGROUND W/ BLACK ROOF*,SOFTEX + PRINT BLACK,496,Stevinson Toyota East,https://www.stevinsontoyotaeast.com,False,50 State Emissions | Bed Scene Lighting[installed_msrp] | Deck Rail Camera Mount[installed_msrp] | Door Panel Scuff Protectors[installed_msrp] | IP Side Accessory - Storage Case | Integrated Dashcam[installed_msrp] | Mudguards | Spare Tire Lock[installed_msrp] | Spray On Bedliner[installed_msrp] | TRD PRO Package
2024-11-21T00:00:00.000Z,3TYLC5LN5RT010739,2024,Tacoma TRD Sport,Available,False,Factory to port,51956,ICE CAP,FABRIC BOULDER/BLACK (SMOKE SILVER),344,Mitchell Toyota,https://www.mitchelltoyota.com,False,50 State Emissions | Ball Mount | Bed Extender | Bed Step (non-powered)** | Blackout Package | Connectivity Kit | Dash Cam | Exhaust Tip - Black Chrome** | Mudguards | Owner's Portfolio | Predator Drop Step** | Spray-On Bed Liner** | Vehicle Fueling | Vehicle Protection Premium Package
