ETA,VIN,Year,Model,Hold Status,Pre-Sold,Shipping Status,Total MSRP,Exterior Color,Interior Color,Distance,Dealer,Dealer Website,SmartPath,Options
2024-09-12,JTERU5JR0R6306241,2024,4Runner TRD Off-Road Premium,Available,False,At dealer,51749,Nautical Blue Metallic,Black/Graphite Softex® [softex],398,Toyota of Colorado Springs,https://www.toyotaofcoloradosprings.com,True,50 State Emissions | All-Weather Floor Liners & Cargo Tray Package[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | High Performance LED Fog Lights - Black[installed_msrp] | Keep it Wild Savings [keep_it_wild_21] | Kinetic Dynamic Suspension System (KDSS) | Moonroof | Off Road Package | Premium Package
2024-09-22,JTERU5JR1R6302022,2024,4Runner TRD Off-Road Premium,DealerHold,False,At dealer,51693,Ice Cap,Black/Graphite Softex® [softex],353,Corwin Toyota Boulder,https://www.corwintoyotaboulder.com,False,17-In. Cast Matte Black Pro Wheel[installed_msrp] | 50 State Emissions | All-Weather Floor Liners & Cargo Tray Package[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Exhaust Tip - Black Chrome[installed_msrp] | High Performance LED Fog Lights - Black[installed_msrp] | Keep it Wild Savings [keep_it_wild_21] | Moonroof | Off Road Package | Off Road Premium Package w/ Softex | Roof Rack Cross Bars[installed_msrp] | TRD Front Skid Plate[installed_msrp] | USB Dual Power Port[installed_msrp]
2024-10-08,JTERU5JR1R6303297,2024,4Runner TRD Off-Road Premium,Available,False,Port to dealer,51504,Underground,Black/Graphite Softex® [softex],207,Western Slope Toyota,https://www.westernslopetoyota.com,True,17-In. Cast Matte Black Pro Wheel[installed_msrp] | 50 State Emissions | All-Weather Floor Liners & Cargo Tray Package[installed_msrp] | High Performance LED Fog Lights - Black[installed_msrp] | Keep it Wild Savings [keep_it_wild_21] | Moonroof | Off Road Package | Off Road Premium Package w/ Softex | Predator Tube Step[installed_msrp] | Roof Rack Cross Bars[installed_msrp]
Unknown,JTERU5JR1R6303638,2024,4Runner TRD Off-Road Premium,DealerHold,True,Port to dealer,51634,Nautical Blue Metallic,Black/Graphite Softex® [softex],398,Toyota of Colorado Springs,https://www.toyotaofcoloradosprings.com,True,17-In. Cast Matte Black Pro Wheel[installed_msrp] | 50 State Emissions | All-Weather Floor Liners & Cargo Tray Package[installed_msrp] | Keep it Wild Savings [keep_it_wild_21] | Moonroof | Off Road Package | Off Road Premium Package w/ Softex | Predator Tube Step[installed_msrp] | Quick Charging Cable Package[installed_msrp] | TRD Front Skid Plate[installed_msrp]
2024-09-09,JTERU5JR1R6306426,2024,4Runner TRD Off-Road Premium,,False,At dealer,50697,Midnight Black Metallic,Black/Graphite Softex® [softex],359,Centennial Toyota,https://www.centennialtoyota.com,False,50 State Emissions | All-Weather Floor Liners & Cargo Tray Package[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Dual Power Port/Quick Charging Cable Package[installed_msrp] | High Performance LED Fog Lights - Black[installed_msrp] | Integrated Dashcam[installed_msrp] | Keep it Wild Savings [keep_it_wild_21] | Moonroof | Off Road Package | Off Road Premium Package w/ Softex | Predator Tube Step[installed_msrp] | Roof Rack Cross Bars[installed_msrp]
2024-10-05,JTERU5JR1R6307768,2024,4Runner TRD Off-Road Premium,,False,Port to dealer,54332,Classic Silver Metallic,Black/Graphite Softex® [softex],366,Findlay Toyota,https://www.findlaytoyota.com,True,17-In. Cast Matte Black Pro Wheel[installed_msrp] | 50 State Emissions | All-Weather Floor Liners & Cargo Tray Package[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Dual Power Port/Quick Charging Cable Package[installed_msrp] | Findlay Package | High Performance LED Fog Lights - Black[installed_msrp] | Integrated Dashcam[installed_msrp] | Keep it Wild Savings [keep_it_wild_21] | Kinetic Dynamic Suspension System (KDSS) | Moonroof | Off Road Package | Premium Package | Roof Rack Cross Bars[installed_msrp]
2024-09-18,JTERU5JR2R6302563,2024,4Runner TRD Off-Road Premium,DealerHold,False,At dealer,51584,Ice Cap,Black/Graphite Softex® [softex],253,Bighorn Toyota,https://www.bighorntoyota.com,True,17-In. Cast Matte Black Pro Wheel[installed_msrp] | 50 State Emissions | All-Weather Floor Liners & Cargo Tray Package[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | High Performance LED Fog Lights - Black[installed_msrp] | Keep it Wild Savings [keep_it_wild_21] | Moonroof | Off Road Package | Off Road Premium Package w/ Softex | Predator Tube Step[installed_msrp] | Quick Charging Cable Package[installed_msrp]
2024-09-28,JTERU5JR2R6306824,2024,4Runner TRD Off-Road Premium,Available,True,Port to dealer,48324,Nautical Blue Metallic,Black/Graphite Softex® [softex],326,Durango Toyota,https://www.durangotoyota.com,True,50 State Emissions | All-Weather Floor Liners & Cargo Tray Package[installed_msrp] | Keep it Wild Savings [keep_it_wild_21] | Off Road Package | Off Road Premium Package w/ Softex | Roof Rack Cross Bars[installed_msrp]
2024-09-26,JTERU5JR2R6307116,2024,4Runner TRD Off-Road Premium,,False,Factory to port,51883,Ice Cap,Black/Graphite Softex® [softex],465,Rogers Toyota,https://www.toyotaoflewiston.com,True,"50 State Emissions | All-Weather Floor Liners & Cargo Tray Package[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | High Performance LED Fog Lights - Black[installed_msrp] | Keep it Wild Savings [keep_it_wild_21] | Off Road Package | Paint Protection Film - Hood, Fenders, Mirror Backs and Door Cups[installed_msrp] | Premium Package | Roof Rack Cross Bars[installed_msrp] | TRD Black Wheel Package[installed_msrp]"
Unknown,JTERU5JR2R6307326,2024,4Runner TRD Off-Road Premium,DealerHold,False,At dealer,53943,Ice Cap,Black/Graphite Softex® [softex],363,David Wilson's Toyota of Las Vegas,https://www.dwtoyotalasvegas.com,True, XPEL Solar Plate Premium | 50 State Emissions | All-Weather Floor Liners & Cargo Tray Package[installed_msrp] | Charging Cable Kit | Door Edge Guards[installed_msrp] | Dual Power Port/Quick Charging Cable Package[installed_msrp] | EXPL Paint Protection Partial Hood & Fender Fronts | High Performance LED Fog Lights - Black[installed_msrp] | Keep it Wild Savings [keep_it_wild_21] | Kinetic Dynamic Suspension System (KDSS) | Moonroof | Off Road Package | Premium Package | Roof Rack Cross Bars[installed_msrp] | TRD Black Wheel Package[installed_msrp]
